spellName;bookOrigin;spellTradition;spellType;spellLevel;spellDescription;
SUNDER;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;1;Target: One object made from glass, metal, or stone you can see within medium range. Take 2 damage and the target takes 3d6 damage. If this damage destroys the target, it explodes in a 2-yard radius from a point within its space, dealing 1d6 damage to everything in the area from the flying debris. Each creature in the area that gets a success on an Agility challenge roll takes half the damage.;
ENTROPIC POWER;CORE RULEBOOK UPDATED;DESTRUCTION;UTILITY;2;Duration: 1 minute. Take 3 damage. For the duration, creatures that take any damage from your attack spells take 1d6 extra damage. Triggered: When you cast an attack spell that deals damage, you can use a triggered action to cast this spell, which ends at the end of the round. If the target takes damage from your spell, it takes 2d6 extra damage.;
ERODE;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;2;Target: One creature with a physical body you can see within short range. Take 3 damage. Make a Will attack roll against the target’s Agility. On a success, the target becomes impaired for 1 minute. At the end of each round while it is impaired in this way, the target takes 1d6 damage. Attack Roll 20+: The target takes 1d6 extra damage at the end of each round while it is impaired in this way.;
DETONATE;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;3;Target: One Size 1 or smaller object that was never a creature that you can see within medium range. Take 4 damage. The target takes damage equal to its Health and then explodes in a 4-yard radius from a point within its space, dealing 6d6 damage to everything in the area from the flying debris. Each creature in the area that gets a success on an Agility challenge roll takes half the damage.;
EVAPORATE;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;3;Target: One creature with a physical body or one object you can reach. Take 4 damage. Make a Will attack roll against the target’s Agility. On a success, the target takes 6d6 damage as it begins to evaporate. An object destroyed by this damage evaporates into a fine mist. A creature incapacitated by this damage dies instantly and becomes a crimson cloud that partially obscures the space it occupied for 1 round. Attack Roll 20+: The target takes 2d6 extra damage.;
DESTROY;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;4;Target: One Size 3 or smaller creature or object you can see within medium range. Take 5 damage. The target takes 30 damage.;
DISINTEGRATE;CORE RULEBOOK UPDATED;DESTRUCTION;ATTACK;5;Target: One creature with a physical body or one object you can see within long range. Take 6 damage. Make a Will attack roll against the target’s Agility. On a success, the target takes 9d6 damage. A creature incapacitated by this damage dies immediately and is reduced to a small pile of dust in the space it occupied. Attack Roll 20+: The target takes 3d6 extra damage.;
EAVESDROP;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;0;Duration: Concentration, up to 1 minute. Choose a point in space you can see within long range. For the duration, you hear as if you were at the chosen point.;
EPIPHANY;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;0;Triggered: You use a triggered action to cast this spell when you make a challenge roll or an attack roll. You roll the d20 twice and use the higher number on the die.;
AUGUR;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;1;Requirement: You must use implements of divination such as cards, dice, tea leaves, or notched sticks. Duration: Concentration, up to 1 minute. While you concentrate, you use your divination tools to gain an insight into the future. At the end of this time, ask the Game Master one question that can be answered “yes” or “no.” The GM must answer the question truthfully.;
FORETELL;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;1;Target: One creature you can see within short range. Duration: Concentration, up to 1 minute. For the duration, whenever the target makes an attack roll or challenge roll and can hear you, it makes the roll with 3 boons.;
PSYCHOMETRY;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;1;Target: One object you can reach. You touch the target and learn 1d6 facts about it, such as the identity of its previous owner, whether or not the object is cursed, possessed, or magical, how a previous owner gained or lost the object, and where it was made.;
READING;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;2;Target: One creature you can reach. Duration: Concentration, up to 1 minute. While you concentrate, you read the target’s palm. At the end of the duration, you reveal hints about the target’s future. The target gains six insights, which it retains for 1 hour or until it expends the last one. When it makes an attack roll or challenge roll, it can expend one insight to make the roll with 2 boons.;
TRUTH EAR;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;2;Duration: 1 hour. For the duration, you understand all spoken languages you hear and you recognize the truth when you hear it.;
SEE THE FUTURE;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;3;Duration: 1 minute. For the duration, your movement does not trigger free attacks, you impose 2 banes on attack rolls made against you, and you make Agility challenge rolls with 2 boons to resist attacks and other harmful effects.;
LOCATE;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;3;Duration 1 hour, see the effect. You concentrate for 1 minute, during which time you visualize one creature or object. You can visualize a specific thing, such as the goblet from which the monarch last drank, or a general category, such as a trap. When you finish, for the duration you know the location of the creature or object you chose whenever you are within medium range of it. It cannot become hidden from you for the duration. This knowledge also reveals the path you need to take to reach the creature or object. If multiple subjects match the same description, you know the location of each.;
VISION;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;4;Duration 1 hour, see the effect. For the duration, you enjoy the following benefits: > You see into areas obscured by shadows and darkness as if those areas were lit. > You see through anything that conceals, disguises, or renders things invisible. > You see auras around objects under the effects of magic and you automatically recognize anything created by an Illusion spell for what it is. > You see creatures under the effects of Transformation spells as they truly are. > You can use an action to focus your sight to see through solid obstacles as long as you concentrate. You can see through 1 yard of wood, 1 foot of stone, or 1 inch of metal.;
CLAIRVOYANCE;CORE RULEBOOK UPDATED;DIVINATION;UTILITY;5;Target: One crystal ball you can reach. Duration: Concentration, up to 1 hour, see the effect. You touch the target and concentrate for 1 minute, during which time you visualize a place you have seen at least once,;
EARTH SPIKE;CORE RULEBOOK UPDATED;EARTH;ATTACK;0;Target: One creature on the ground within short range. A sharp spike erupts from the ground under the target. Make a Will attack roll against the target’s Agility. On a success, the target takes 1d6 damage and falls prone. Attack Roll 20+: The target takes 1d6 extra damage.;
SHAPE EARTH AND STONE;CORE RULEBOOK UPDATED;EARTH;UTILITY;0;Target: One Size 1 or smaller object made from earth or stone you can reach. Duration: Permanent. You can mold the target as if it were made from soft clay, after which it returns to its normal hardness.;
STONE ARMOR;CORE RULEBOOK UPDATED;EARTH;UTILITY;1;Duration: Concentration, up to 1 minute. Rock spreads to cover you until you are fully encased. For the duration, attack rolls against your Defense, Strength, or Agility are made with 1 bane and you take half damage from weapons. When the effect ends, the rock encasing you explodes in a 1-yard-radius sphere centered on a point you can reach, dealing 1d6 damage per round you concentrated on the spell to everything in the area other than you. Each other creature in the area must make an Agility challenge roll, taking half the damage on a success.;
STONE BLADES;CORE RULEBOOK UPDATED;EARTH;ATTACK;1;Area: A cone, 3 yards long, originating from a point you can reach. You fling shards of stone that deal 2d6 damage to everything in the area. Each creature in the area must make an Agility challenge roll, taking half the damage on a success. On a failure, the creature suffers a bleeding wound and takes 1d6 damage at the end of each round until it heals any damage or until it or another creature uses an action to stanch the bleeding.;
TREMOR;CORE RULEBOOK UPDATED;EARTH;ATTACK;1;Area: A circle on the ground with a radius of 4 yards centered on a point you can reach. Duration: 1 round. The ground shakes and heaves. Any creature other than you standing on the ground in the area or that moves onto it must make an Agility challenge roll. On a failure, it falls prone and cannot stand up for the duration.;
AVALANCHE;CORE RULEBOOK UPDATED;EARTH;ATTACK;2;Area: A circle on the ground with a radius of 2 yards centered on a point you can reach and a cone, 5 yards long, originating from a point you can reach. You raise the top layer of the ground in the circle and hurl it into the cone. The ground in both areas becomes difficult terrain until the rubble is cleared away. Everything in the cone takes 4d6 damage. Each creature in the area takes half the damage with a success on an Agility challenge roll.;
MOLD EARTH AND STONE;CORE RULEBOOK UPDATED;EARTH;UTILITY;2;Area: A cube of earth or stone, 4 yards on a side, originating from a point you can reach. Duration: Permanent, see the effect. When you cast the spell, you must concentrate and maintain contact with the area for 1 minute. At the end of this time, you reshape the earth and stone in the area as if it were made from soft clay. The material then returns to its normal hardness. You might cast this spell to create openings in rock walls, seal doors shut, form weapons of stone, or clear passages of rubble.;
ERUPTION;CORE RULEBOOK UPDATED;EARTH;ATTACK;3;Area: A cylinder, 10 yards tall with a radius of 2 yards, centered on a point on the ground within medium range. The ground erupts, throwing rubble into the air that rains down and deals 5d6 damage to everything in the area. Creatures and objects in the area are also moved 1d6 yards away from the origin point. Each creature in the area must make a Strength challenge roll. It falls prone on a failure, or just takes half the damage on a success. Afterward, the ground within 5 yards of the origin point is filled with rubble, becoming difficult terrain until cleared.;
NAIL TO THE GROUND;CORE RULEBOOK UPDATED;EARTH;ATTACK;3;Area: A cube, 10 yards on a side, originating from a point within long range. Duration: 1 minute. Gravity suddenly intensifies in the area, which becomes difficult terrain for the duration. Each creature in the area or that enters the area must make a Strength challenge roll with 1 bane; on a failure, it falls prone and becomes immobilized for the duration. While immobilized in this way, the creature cannot stand up. If it is flying, it falls and takes double damage from landing.;
EARTHQUAKE;CORE RULEBOOK UPDATED;EARTH;ATTACK;4;Area: A circle on the ground with a radius of 20 yards centered on a point within long range. Duration: 1 minute. The ground shakes and heaves violently in the area, which becomes difficult terrain for the duration. When you cast the spell and at the end of each round for the duration, each creature standing in the area must make an Agility challenge roll. On a failure, it takes 1d6 damage and falls prone. In addition, when you cast the spell and at the end of each round for the duration, any structure in contact with the area takes 2d6 damage. A structure destroyed by this damage collapses, and everything inside or under it takes 4d6 + 10 damage. Creatures on top of the structure might take falling damage when it collapses.;
BIND EARTH GENIE;CORE RULEBOOK UPDATED;EARTH;UTILITY;5;Target: A cube of earth or stone, 2 yards on a side, originating from a point within long range. Duration: 1 minute. At the end of the round in which you cast this spell, the target becomes a Size 2 earth genie. You cannot voluntarily end this spell. When the effect ends, the genie crumbles, turning the ground in its space into difficult terrain. When the genie appears, make a Will attack roll against its Will. The genie becomes compelled for the duration on a success, or becomes hostile to you on a failure.;
BEWITCH;CORE RULEBOOK UPDATED;ENCHANTMENT;ATTACK;0;Target: One creature that can see you within long range. Make an Intellect attack roll against the target’s Intellect. On a success, the target is moved up to its Speed. Attack Roll 20+: You regain the casting of this spell.;
PRESENCE;CORE RULEBOOK UPDATED;ENCHANTMENT;UTILITY;0;Duration: 1 minute. For the duration, creatures that are ordinarily attracted to members of your kind make attack rolls against you with 1 bane.;
